leave_id,employee_id,leave_type,start_date,end_date,status,created_at
1,1,paternity,2021-05-04,2021-05-17,approved,2026-04-05 21:50:05.069527
2,1,annual,2021-06-24,2021-07-05,approved,2026-04-05 21:50:05.069527
3,1,annual,2023-01-28,2023-02-05,approved,2026-04-05 21:50:05.069527
4,1,annual,2024-04-29,2024-05-06,approved,2026-04-05 21:50:05.069527
5,1,paternity,2021-11-27,2021-12-09,rejected,2026-04-05 21:50:05.069527
6,2,sick,2021-01-12,2021-01-15,approved,2026-04-05 21:50:05.069527
7,2,annual,2021-09-16,2021-09-21,approved,2026-04-05 21:50:05.069527
8,2,unpaid,2021-03-07,2021-04-05,pending,2026-04-05 21:50:05.069527
9,2,annual,2022-01-05,2022-01-18,approved,2026-04-05 21:50:05.069527
10,3,annual,2024-03-14,2024-03-19,approved,2026-04-05 21:50:05.069527
11,3,annual,2020-03-22,2020-04-01,approved,2026-04-05 21:50:05.069527
12,3,sick,2023-01-26,2023-01-30,approved,2026-04-05 21:50:05.069527
13,3,maternity,2023-02-20,2023-05-06,approved,2026-04-05 21:50:05.069527
14,3,annual,2023-12-23,2024-01-06,approved,2026-04-05 21:50:05.069527
15,4,annual,2021-02-07,2021-02-21,rejected,2026-04-05 21:50:05.069527
16,4,annual,2020-09-24,2020-09-28,approved,2026-04-05 21:50:05.069527
17,4,annual,2020-07-23,2020-07-28,approved,2026-04-05 21:50:05.069527
18,4,sick,2022-08-18,2022-08-23,rejected,2026-04-05 21:50:05.069527
19,4,annual,2023-05-22,2023-06-03,pending,2026-04-05 21:50:05.069527
20,5,annual,2024-01-27,2024-02-08,approved,2026-04-05 21:50:05.069527
21,5,paternity,2023-06-30,2023-07-11,approved,2026-04-05 21:50:05.069527
22,7,maternity,2023-06-26,2023-08-25,approved,2026-04-05 21:50:05.069527
23,7,unpaid,2020-08-17,2020-08-25,approved,2026-04-05 21:50:05.069527
24,9,paternity,2021-01-24,2021-02-03,approved,2026-04-05 21:50:05.069527
25,9,annual,2022-09-11,2022-09-15,approved,2026-04-05 21:50:05.069527
26,9,sick,2020-08-18,2020-08-22,approved,2026-04-05 21:50:05.069527
